datefrom,dateto,month,holiday,weekday,qvpos,qvneg,qvtotal,qvposday,qvnegday,qvtotalday,qmflua,qmflub,qmtotal,qmratea,qmrateb,chpgopcrate ,chpgprate
31/12/2006,06/01/2007,1,2,5,,,,,,,1,0,141,0.0071,0,3.2,41.1
07/01/2007,13/01/2007,1,1,6,,,,,,,4,1,141,0.0284,0.0071,2.8,42.7
14/01/2007,20/01/2007,1,1,6,,,,,,,9,2,152,0.0592,0.0132,3.9,39.5
21/01/2007,27/01/2007,1,1,6,,,,,,,11,1,145,0.0759,0.0069,4.3,42.2
28/01/2007,03/02/2007,1,1,6,,,,,,,20,3,178,0.1124,0.0169,5.2,50.6
04/02/2007,10/02/2007,2,1,6,,,,,,,35,5,220,0.1591,0.0227,6.5,55.5
11/02/2007,17/02/2007,2,2,5,,,,,,,41,0,199,0.206,0,4.2,58
18/02/2007,24/02/2007,2,1,6,0,4,4,0,4,4,49,6,218,0.2248,0.0275,6.5,52
25/02/2007,03/03/2007,2,1,6,6,51,57,1,8.5,9.5,36,1,221,0.1629,0.0045,5.6,52.9
04/03/2007,10/03/2007,3,2,5,13,46,59,2.6,9.2,11.8,34,8,223,0.1525,0.0359,5.2,58.8
11/03/2007,17/03/2007,3,1,6,14,45,59,2.33,7.5,9.83,43,6,237,0.1814,0.0253,5.5,56.2
18/03/2007,25/03/2007,3,1,6,8,44,52,1.33,7.33,8.67,18,5,195,0.092307692,0.025641026,6.7,55.3
26/03/2007,31/03/2007,3,1,6,12,43,55,2,7.17,9.17,23,2,273,0.084249084,0.007326007,4,55.8
01/04/2007,07/04/2007,4,4,3,0,17,17,0,5.67,5.67,25,7,223,0.112107623,0.031390135,5.2,61.5
08/04/2007,14/04/2007,4,2,5,4,24,28,0.8,4.8,5.6,11,3,204,0.053921569,0.014705882,5.6,43.2
15/04/2007,21/04/2007,4,1,6,5,28,33,0.83,4.67,5.5,11,6,215,0.051162791,0.027906977,4.5,39.6
22/04/2007,28/04/2007,4,1,6,7,35,42,1.17,5.83,7,6,1,156,0.038461538,0.006410256,5.7,43.3
29/04/2007,05/05/2007,4,4,3,2,27,29,0.67,9,9.67,8,5,188,0.042553191,0.026595745,3.5,42.2
06/05/2007,12/05/2007,5,1,6,4,39,43,0.67,6.5,7.17,7,9,199,0.035175879,0.045226131,6.2,49.8
13/05/2007,19/05/2007,5,1,6,4,34,38,0.67,5.67,6.33,6,7,172,0.034883721,0.040697674,5.4,49.3
20/05/2007,26/05/2007,5,2,5,1,23,24,0.2,4.6,4.8,6,7,170,0.035294118,0.041176471,3.1,54.5
27/05/2007,02/06/2007,5,1,6,1,21,22,0.17,3.5,3.67,8,8,164,0.048780488,0.048780488,3.5,42.6
03/06/2007,09/06/2007,6,1,6,7,35,42,1.17,5.83,7,10,4,163,0.061349693,0.024539877,3.9,53
10/06/2007,16/06/2007,6,1,6,7,37,44,1.17,6.17,7.33,24,7,199,0.120603015,0.035175879,5.2,56.6
17/06/2007,23/06/2007,6,2,5,11,37,48,2.2,7.4,9.6,49,11,270,0.181481481,0.040740741,7.1,70.7
24/06/2007,30/06/2007,6,2,6,16,43,59,2.67,7.17,9.83,48,13,243,0.197530864,0.053497942,7.5,62.4
01/07/2007,07/07/2007,7,1,5,12,25,37,2.4,5,7.4,43,11,289,0.148788927,0.038062284,8.7,70.7
08/07/2007,14/07/2007,7,1,6,4,16,20,0.67,2.67,3.33,39,16,302,0.129139073,0.052980132,8.3,71.6
15/07/2007,21/07/2007,7,1,6,7,25,32,1.17,4.17,5.33,18,8,241,0.074688797,0.033195021,8.9,51.6
22/07/2007,28/07/2007,7,1,6,1,14,15,0.17,2.33,2.5,19,7,234,0.081196581,0.02991453,6.2,39.3
29/07/2007,04/08/2007,7,1,6,2,29,31,0.33,4.83,5.17,5,7,194,0.025773196,0.036082474,6.9,42.8
05/08/2007,11/08/2007,8,1,6,1,13,14,0.17,2.17,2.33,3,2,202,0.014851485,0.00990099,4.7,36.3
12/08/2007,18/08/2007,8,1,6,1,24,25,0.17,4,4.17,4,6,188,0.021276596,0.031914894,4.4,35.6
19/08/2007,25/08/2007,8,1,6,3,15,18,0.5,2.5,3,1,2,187,0.005347594,0.010695187,5.1,45.5
26/08/2007,01/09/2007,8,1,6,0,16,16,0,2.67,2.67,1,7,222,0.004504505,0.031531532,4.9,50.1
02/09/2007,08/09/2007,9,1,6,0,12,12,0,2,2,2,4,179,0.011173184,0.022346369,4.4,44.3
09/09/2007,13/09/2007,9,1,6,0,9,9,0,1.5,1.5,5,1,197,0.025380711,0.005076142,4.1,47
14/09/2007,20/09/2007,9,1,6,0,1,1,0,1,1,3,6,195,0.015384615,0.030769231,4,43.1
